id_gsn;monastery_name;Lon;Lat;Standort;diocese;order_name;order_begin_tpq;order_end_tpq;alt_label_diocese;RG_Abkuerzung;id_order
11;Benediktinerkloster Erxleben;11.385517768465634;51.75792668808912;Erxleben;Halberstadt;Benediktiner;1334;1334;eccl. Halberstad.;o. s. Ben.;16
12;Benediktinerinnenkloster Admont, Österreich;14.460556;47.575833;Admont;Salzburg;Benediktinerinnen;1116;1568;eccl. Salzeburg.;o. s. Ben.;33
16;Benediktinerinnenkloster Millstatt, Österreich;13.58056;46.80417;Millstatt;Salzburg;Benediktinerinnen;1122;1441;eccl. Salzeburg.;o. s. Ben.;33
24;Benediktinerkloster Arnoldstein, Österreich;13.709444;46.548611;Arnoldstein;Aquileia;Benediktiner;1106;1782;eccl. Aquileg.;o. s. Ben.;16
28;Zisterzienserkloster Viktring, Klagenfurt am Wörthersee, Österreich;14.269167;46.589722;Klagenfurt;Salzburg;Zisterzienser;1142;1786;eccl. Salzeburg.;o. Cist.;5
29;Benediktinerabtei Marienberg, Burgeis, Italien;10.520665;46.706164;Burgeis (Marienberg);Chur;Benediktiner;1090;1808;eccl. Cur.;o. s. Ben.;16
49;Zisterzienserinnenkloster Zarrentin;10.917;53.5515;Zarrentin;Ratzeburg;Zisterzienserinnen;1246;1553;eccl. Razeburg.;o. Cist.;28
56;Zisterzienserkloster Amelungsborn;9.593056;51.897222;Amelungsborn;Hildesheim;Zisterzienser;1123;1568;eccl. Hildesem.;o. Cist.;5
61;Zisterzienserinnenabtei Braunschweig (Kreuzkloster);10.508889;52.268056;Braunschweig;Hildesheim;Zisterzienserinnen;1409;1532;eccl. Hildesem.;o. Cist.;28
62;Benediktinerkloster Brunshausen, später Benediktinerinnen;10.031944;51.882778;Brunshausen;Hildesheim;Benediktinerinnen;1192;1568;eccl. Hildesem.;o. s. Ben.;33
65;Benediktinerkloster Clus;10.00863;51.88327;Clus;Hildesheim;Benediktiner;1124;1596;eccl. Hildesem.;o. s. Ben.;16
69;Benediktinerinnenkloster Escherde;9.82012;52.11598;† Bovingehusen;Hildesheim;Benediktinerinnen;1301;1543;eccl. Hildesem.;o. s. Ben.;33
69;Benediktinerinnenkloster Escherde;9.82012;52.11598;† Bovingehusen;Hildesheim;Kanonissen/Benediktinerinnen;1195;1301;eccl. Hildesem.;;68
71;Benediktinerinnenkloster St. Marien, Gandersheim;10.028350;51.869186;Gandersheim;Hildesheim;Benediktinerinnen;1482;1570;eccl. Hildesem.;o. s. Ben.;33
78;Augustinerchorfrauenstift Derneburg (später Zisterzienserinnen, dann Zisterzienser);10.133203744095;52.09559346748792;Derneburg;Hildesheim;Zisterzienserinnen;1443;1543;eccl. Hildesem.;o. Cist.;28
82;Zisterzienserinnenkloster Neuwerk, Goslar;10.425528;51.909556;Goslar;Hildesheim;Zisterzienserinnen;1186;1570;eccl. Hildesem.;o. Cist.;28
93;Benediktinerabtei St. Michael, Hildesheim;9.943611;52.152778;Hildesheim;Hildesheim;Benediktiner;1005;1803;eccl. Hildesem.;o. s. Ben.;16
100;Benediktinerabtei St. Godehard, Hildesheim;9.949224;52.144827;Hildesheim;Hildesheim;Benediktiner;1133;1803;eccl. Hildesem.;o. s. Ben.;16
114;Zisterzienserinnenkloster Isenhagen;10.602821;52.731100;Hankensbüttel;Hildesheim;Zisterzienserinnen;1265;1540;eccl. Hildesem.;o. Cist.;28
114;Zisterzienserinnenkloster Isenhagen;10.6535260797823;52.7278375;Alt Isenhagen;Hildesheim;Zisterzienserinnen;1265;1540;eccl. Hildesem.;o. Cist.;28
116;Lamspringe, später Benediktinerinnen, dann Benediktiner Lamspringe;10.01606;51.9634;Lamspringe;Hildesheim;Benediktinerinnen;1138;1568;eccl. Hildesem.;o. s. Ben.;33
120;Zisterzienserkloster Marienrode (früher Backenrode), zuvor Augustinerchorherrenstift;9.914308;52.113944;Marienrode;Hildesheim;Zisterzienser;1259;1806;eccl. Hildesem.;o. Cist.;5
127;Kanonissenstift Ringelheim, später Benediktiner;10.31107;52.03507;Ringelheim;Hildesheim;Benediktiner;1150;1568;eccl. Hildesem.;o. s. Ben.;16
136;Zisterzienserinnenkloster Wöltingerode;10.539444;51.959722;Wöltingerode;Hildesheim;Zisterzienserinnen;1188;1572;eccl. Hildesem.;o. Cist.;28
141;Benediktinerkloster St. Ägidien, Braunschweig;10.525547;52.259559;Braunschweig;Halberstadt;Benediktiner;1115;1539;eccl. Halberstad.;o. s. Ben.;16
154;Benediktinerkloster St. Ludgeri, Helmstedt;11.015661;52.226169;Helmstedt;Halberstadt;Benediktiner;827;1802;eccl. Halberstad.;o. s. Ben.;16
155;Benediktinerkloster Königslutter (zuvor Kanonissenstift, zuvor Kollegiatstift?);10.815719;52.244719;Königslutter;Halberstadt;Benediktiner;1135;1571;eccl. Halberstad.;o. s. Ben.;16
158;Zisterzienserabtei Mariental (Vallis s. Mariae);10.985058;52.275942;Mariental;Halberstadt;Zisterzienser;1138;1569;eccl. Halberstad.;o. Cist.;5
161;Zisterzienserabtei Riddagshausen;10.5713333333333;52.2688333333333;Riddagshausen;Halberstadt;Zisterzienser;1140;1569;eccl. Halberstad.;o. Cist.;5
168;Benediktinerpropstei Wanlefsrode;10.617;51.892;Wanlefsrode;Halberstadt;Benediktiner;1002;1434;eccl. Halberstad.;o. s. Ben.;16
187;Benediktinerinnenkloster Alsleben, später Kollegiatstift;11.681630;51.700719;Alsleben (Saale);Halberstadt;Benediktinerinnen;929;1448;eccl. Halberstad.;o. s. Ben.;33
189;Benediktinerkloster Ballenstedt, zuvor Kollegiatstift;11.218279;51.718667;Ballenstedt;Halberstadt;Benediktiner;1123;1525;eccl. Halberstad.;o. s. Ben.;16
196;Benediktinerinnenkloster Hecklingen;11.533508;51.846635;Hecklingen;Halberstadt;Benediktinerinnen;1130;1559;eccl. Halberstad.;o. s. Ben.;33
198;Benediktinerkloster Hillersleben;11.488327;52.273091;Hillersleben;Halberstadt;Benediktiner;1096;1632;eccl. Halberstad.;o. s. Ben.;16
202;Benediktinerkloster Konradsburg, Ermsleben (später Kartäuser);11.347306;51.714333;Ermsleben;Halberstadt;Benediktiner;1120;1476;eccl. Halberstad.;o. s. Ben.;16
