id_gsn;monastery_name;Lon;Lat;Standort;diocese;order_name;order_begin_tpq;order_end_tpq;alt_label_diocese;RG_Abkuerzung;id_order
11;Benediktinerkloster Erxleben;11.385.517.768.465.600;5.175.792.668.808.910;Erxleben;Halberstadt;Benediktiner;1334;1334;eccl. Halberstad.;o. s. Ben.;16
12;Benediktinerinnenkloster Admont, Österreich;14.460.556;47.575.833;Admont;Salzburg;Benediktinerinnen;1116;1568;eccl. Salzeburg.;o. s. Ben.;33
16;Benediktinerinnenkloster Millstatt, Österreich;1.358.056;4.680.417;Millstatt;Salzburg;Benediktinerinnen;1122;1441;eccl. Salzeburg.;o. s. Ben.;33
18;Kloster der Büßerinnen zum hl. Hieronymus, Wien, Österreich;1.637.208;4.820.849;Kumpfgasse;Passau;Magdalenerinnen (Reuerinnen);1306;1566;eccl. Patav.;;38
18;Kloster der Büßerinnen zum hl. Hieronymus, Wien, Österreich;1.637.208;4.820.849;St. Hieronymuskloster;Passau;Magdalenerinnen (Reuerinnen);1306;1566;eccl. Patav.;;38
18;Kloster der Büßerinnen zum hl. Hieronymus, Wien, Österreich;16.374.639;4.820.625;St. Hieronymuskloster;Wien;Magdalenerinnen (Reuerinnen);1306;1566;eccl. Wien.;;38
22;Augustinerinnenklause Kirchberg;7.405.132;49.942.745;Kirchberg (Hunsrück);Mainz;Augustinereremitinnen;1487;1604;eccl. Magunt.;o. fr. herem. s. Aug.;32
24;Benediktinerkloster Arnoldstein, Österreich;13.709.444;46.548.611;Arnoldstein;Aquileia;Benediktiner;1106;1782;eccl. Aquileg.;o. s. Ben.;16
25;Prämonstratenserinnenstift St. Hilarien, Chur, Schweiz;9.531.984.146.650.290;468.507.722.113.541;Chur;Chur;Prämonstratenserinnen;1170;1347;eccl. Cur.;o. Prem.;31
26;Prämonstratenser-Doppelstift St. Lucius, Chur, Schweiz;9.536.326;46.848.349;Chur;Chur;Prämonstratenser-Doppelstift;1135;1806;eccl. Cur.;o. Prem.;58
28;Zisterzienserkloster Viktring, Klagenfurt am Wörthersee, Österreich;14.269.167;46.589.722;Klagenfurt;Salzburg;Zisterzienser;1142;1786;eccl. Salzeburg.;o. Cist.;5
29;Benediktinerabtei Marienberg, Burgeis, Italien;10.520.665;46.706.164;Burgeis (Marienberg);Chur;Benediktiner;1090;1808;eccl. Cur.;o. s. Ben.;16
33;Prämonstratenserstift Griffen, Österreich;14.703.269;46.698.553;Griffen;Salzburg;Prämonstratenser;1236;1786;eccl. Salzeburg.;o. Prem.;14
34;Prämonstratenserstift Churwalden, Schweiz;9.535.779;46.789.218;Churwalden;Chur;Prämonstratenser;1150;1802;eccl. Cur.;o. Prem.;14
35;Prämonstratenserstift St. Jakob im Prättigau, Klosters-Serneus, Schweiz;9.882.083;46.870.278;Klosters-Serneus;Chur;Prämonstratenser;1220;1525;eccl. Cur.;o. Prem.;14
45;Prämonstratenserstift St. Gerlach, Houthem/Meersen, Niederlande;5.795.297;5.086.998;Meerssen;Lüttich;Prämonstratenserinnen;1201;1797;eccl. Leod.;o. Prem.;31
47;Prämonstratenserstift Broda bei Neubrandenburg;13.239.325;53.550.747;Broda;Havelberg;Prämonstratenser;1170;1551;eccl. Havelberg.;o. Prem.;14
49;Zisterzienserinnenkloster Zarrentin;10.917;535.515;Zarrentin;Ratzeburg;Zisterzienserinnen;1246;1553;eccl. Razeburg.;o. Cist.;28
52;Kollegiatstift St. Blasius, Braunschweig;10.523.940;52.264.268;Braunschweig;Hildesheim;Kanoniker;1001;1810;eccl. Hildesem.;eccl.;34
56;Zisterzienserkloster Amelungsborn;9.593.056;51.897.222;Amelungsborn;Hildesheim;Zisterzienser;1123;1568;eccl. Hildesem.;o. Cist.;5
