"id_gsn";"monastery_name";"Lon";"Lat";"Standort";"diocese";"order_name";"order_begin_tpq";"order_end_tpq";"alt_label_diocese";"RG_Abkuerzung";"id_order"
11;"Benediktinerkloster Erxleben";"11.385517768465634";"51.75792668808912";"Erxleben";"Halberstadt";"Benediktiner";1334;1334;"eccl. Halberstad.";"o. s. Ben.";16
12;"Benediktinerinnenkloster Admont, Österreich";"14.460556";"47.575833";"Admont";"Salzburg";"Benediktinerinnen";1116;1568;"eccl. Salzeburg.";"o. s. Ben.";33
16;"Benediktinerinnenkloster Millstatt, Österreich";"13.58056";"46.80417";"Millstatt";"Salzburg";"Benediktinerinnen";1122;1441;"eccl. Salzeburg.";"o. s. Ben.";33
18;"Kloster der Büßerinnen zum hl. Hieronymus, Wien, Österreich";"16.37208";"48.20849";"Kumpfgasse";"Passau";"Magdalenerinnen (Reuerinnen)";1306;1566;"eccl. Patav.";;38
18;"Kloster der Büßerinnen zum hl. Hieronymus, Wien, Österreich";"16.37208";"48.20849";"St. Hieronymuskloster";"Passau";"Magdalenerinnen (Reuerinnen)";1306;1566;"eccl. Patav.";;38
18;"Kloster der Büßerinnen zum hl. Hieronymus, Wien, Österreich";"16.374639";"48.20625";"St. Hieronymuskloster";"Wien";"Magdalenerinnen (Reuerinnen)";1306;1566;"eccl. Wien.";;38
20;"Benediktinerinnenabtei Nonnberg, Salzburg, Österreich";"13.051667";"47.796111";"Nonnberg";"Salzburg";"Benediktinerinnen";712;;"eccl. Salzeburg.";"o. s. Ben.";33
22;"Augustinerinnenklause Kirchberg";"7.405132";"49.942745";"Kirchberg (Hunsrück)";"Mainz";"Augustinereremitinnen";1487;1604;"eccl. Magunt.";"o. fr. herem. s. Aug.";32
24;"Benediktinerkloster Arnoldstein, Österreich";"13.709444";"46.548611";"Arnoldstein";"Aquileia";"Benediktiner";1106;1782;"eccl. Aquileg.";"o. s. Ben.";16
25;"Prämonstratenserinnenstift St. Hilarien, Chur, Schweiz";"9.531984146650291";"46.8507722113541";"Chur";"Chur";"Prämonstratenserinnen";1170;1347;"eccl. Cur.";"o. Prem.";31
26;"Prämonstratenser-Doppelstift St. Lucius, Chur, Schweiz";"9.536326";"46.848349";"Chur";"Chur";"Prämonstratenser-Doppelstift";1135;1806;"eccl. Cur.";"o. Prem.";58
27;"Benediktinerkloster St. Georgenberg-Fiecht, Österreich";"11.71667";"47.36667";"St. Georgenberg";"Brixen";"Benediktiner";1130;;"eccl. Brixin.";"o. s. Ben.";16
28;"Zisterzienserkloster Viktring, Klagenfurt am Wörthersee, Österreich";"14.269167";"46.589722";"Klagenfurt";"Salzburg";"Zisterzienser";1142;1786;"eccl. Salzeburg.";"o. Cist.";5
29;"Benediktinerabtei Marienberg, Burgeis, Italien";"10.520665";"46.706164";"Burgeis (Marienberg)";"Chur";"Benediktiner";1090;1808;"eccl. Cur.";"o. s. Ben.";16
31;"Franziskanerkloster Brixen (Bressanone), Italien";"11.658752";"46.711707";"Brixen";"Brixen";"Franziskaner (Minoriten/Konventualen/Observanten/Rekollekten)";1245;;"eccl. Brixin.";"o. fr. min.";7
32;"Klarissenkloster Brixen (Bressanone), Italien";"11.658209";"46.711736";"Brixen";"Brixen";"Klarissen";1221;;"eccl. Brixin.";"o. s. Clare";19
33;"Prämonstratenserstift Griffen, Österreich";"14.703269";"46.698553";"Griffen";"Salzburg";"Prämonstratenser";1236;1786;"eccl. Salzeburg.";"o. Prem.";14
34;"Prämonstratenserstift Churwalden, Schweiz";"9.535779";"46.789218";"Churwalden";"Chur";"Prämonstratenser";1150;1802;"eccl. Cur.";"o. Prem.";14
35;"Prämonstratenserstift St. Jakob im Prättigau, Klosters-Serneus, Schweiz";"9.882083";"46.870278";"Klosters-Serneus";"Chur";"Prämonstratenser";1220;1525;"eccl. Cur.";"o. Prem.";14
36;"Dominikanerinnenkloster Sankt Peter (zuvor Beginen), Bludenz, Österreich";"9.830236";"47.146133";"Bludenz";"Chur";"Dominikanerinnen";1411;;"eccl. Cur.";"o. pred.";30
45;"Prämonstratenserstift St. Gerlach, Houthem/Meersen, Niederlande";"5.795297";"50.86998";"Meerssen";"Lüttich";"Prämonstratenserinnen";1201;1797;"eccl. Leod.";"o. Prem.";31
47;"Prämonstratenserstift Broda bei Neubrandenburg";"13.239325";"53.550747";"Broda";"Havelberg";"Prämonstratenser";1170;1551;"eccl. Havelberg.";"o. Prem.";14
49;"Zisterzienserinnenkloster Zarrentin";"10.917";"53.5515";"Zarrentin";"Ratzeburg";"Zisterzienserinnen";1246;1553;"eccl. Razeburg.";"o. Cist.";28
52;"Kollegiatstift St. Blasius, Braunschweig";"10.523940";"52.264268";"Braunschweig";"Hildesheim";"Kanoniker";1001;1810;"eccl. Hildesem.";"eccl.";34
56;"Zisterzienserkloster Amelungsborn";"9.593056";"51.897222";"Amelungsborn";"Hildesheim";"Zisterzienser";1123;1568;"eccl. Hildesem.";"o. Cist.";5
57;"Kollegiatstift Bockenem";"10.124";"52.007";"Bockenem";"Hildesheim";"Kanoniker";1411;1412;"eccl. Hildesem.";"eccl.";34
58;"Kollegiatstift St. Cyriacus, Braunschweig";"10.517951";"52.256866";"Braunschweig";"Hildesheim";"Kanoniker";1029;1542;"eccl. Hildesem.";"eccl.";34
60;"Franziskanerkloster Braunschweig";"10.518664";"52.265374";"Braunschweig";"Hildesheim";"Franziskaner (Minoriten/Konventualen/Observanten/Rekollekten)";1223;1529;"eccl. Hildesem.";"o. fr. min.";7
61;"Zisterzienserinnenabtei Braunschweig (Kreuzkloster)";"10.508889";"52.268056";"Braunschweig";"Hildesheim";"Zisterzienserinnen";1409;1532;"eccl. Hildesem.";"o. Cist.";28
62;"Benediktinerkloster Brunshausen, später Benediktinerinnen";"10.031944";"51.882778";"Brunshausen";"Hildesheim";"Benediktinerinnen";1192;1568;"eccl. Hildesem.";"o. s. Ben.";33
64;"Franziskanerkloster Celle";"10.085623";"52.625009";"Celle";"Hildesheim";"Franziskaner (Minoriten/Konventualen/Observanten/Rekollekten)";1453;1525;"eccl. Hildesem.";"o. fr. min.";7
65;"Benediktinerkloster Clus";"10.00863";"51.88327";"Clus";"Hildesheim";"Benediktiner";1124;1596;"eccl. Hildesem.";"o. s. Ben.";16
